skillname,PUMA,Normalized Index
ActiveLearning,0100200,3.9583247024998034
ActiveLearning,0100301,4.008565303402807
ActiveLearning,0100302,4.000291672405678
ActiveLearning,0100400,3.804283119628922
ActiveLearning,0100500,3.9141902564690323
ActiveLearning,0100600,3.872740197131325
ActiveLearning,0100700,3.8556357547999998
ActiveLearning,0100800,3.8864687343810678
ActiveLearning,0100900,3.9017146357904453
ActiveLearning,0101000,3.8402681690708285
ActiveLearning,0101100,3.889962511628036
ActiveLearning,0101200,4.052138916518405
ActiveLearning,0101301,3.883218679364395
ActiveLearning,0101302,3.9532233927631095
ActiveLearning,0101303,4.1271379159727655
ActiveLearning,0101304,3.971713532515339
ActiveLearning,0101305,3.965630846170144
ActiveLearning,0101400,3.852025417246359
ActiveLearning,0101500,3.927634437824524
ActiveLearning,0101600,3.932925909701309
ActiveLearning,0101700,3.8585995331221548
ActiveLearning,0101800,3.822103744783772
ActiveLearning,0101900,3.9776146218738457
ActiveLearning,0102100,3.971974927804853
ActiveLearning,1302003,4.05371789046677
ActiveLearning,1302004,4.07830684632868
ActiveLearning,1302300,3.8914548849783563
ActiveLearning,1302500,3.8625874338093715
ActiveLearning,1302600,3.889705433805494
ActiveLearning,1302700,3.7393513645903607
ActiveLearning,1302800,3.8141004591267227
ActiveLearning,1302900,3.909249966801815
ActiveLearning,1303003,4.047447026562941
ActiveLearning,1303004,4.022186752307434
ActiveLearning,1303101,4.0314742724068475
ActiveLearning,1303102,4.041822531171075
ActiveLearning,1303200,3.939371269168341
ActiveLearning,1303300,4.069561591584779
ActiveLearning,1303400,3.886709281294572
ActiveLearning,1303500,3.8731383514372073
ActiveLearning,1303700,3.979202286326031
ActiveLearning,1303800,3.9225687951002834
ActiveLearning,1304001,4.043040577046919
ActiveLearning,1304002,4.070367415971562
ActiveLearning,1304003,4.010205096288496
ActiveLearning,1304004,4.03078372350102
ActiveLearning,1304005,4.003105869394486
ActiveLearning,1304006,3.9129498977530273
ActiveLearning,1304400,3.9739278693216633
ActiveLearning,1304500,3.9645057439274893
ActiveLearning,2100400,3.8179010509617237
ActiveLearning,2100600,3.8321582736175226
ActiveLearning,2100700,3.8687303955833308
ActiveLearning,2100800,3.890296433445421
ActiveLearning,2100900,3.8802272383199803
ActiveLearning,2101000,3.87919939602278
ActiveLearning,2101100,3.895232853549758
ActiveLearning,2101200,3.823898040626771
ActiveLearning,2102100,3.897766492483616
ActiveLearning,2102200,3.9128740814251035
ActiveLearning,2102300,3.893848439953287
ActiveLearning,2102700,3.8442289868686883
ActiveLearning,2102800,3.9281863567069126
ActiveLearning,2400100,3.9136461405292735
ActiveLearning,2400200,3.935359102543049
ActiveLearning,2800200,3.843177377734637
ActiveLearning,2800400,3.9104430648084145
ActiveLearning,2800500,3.9135152362203183
ActiveLearning,2800600,3.913675399838522
ActiveLearning,2800700,3.8732453291889493
ActiveLearning,3600403,3.9280278566936206
ActiveLearning,3600800,3.9083150098451576
ActiveLearning,3601300,3.9169213883650342
ActiveLearning,3601400,3.9809762086157328
ActiveLearning,3601500,3.9556514146335418
ActiveLearning,3602201,3.9854965980972294
ActiveLearning,3602202,3.9328091971781816
ActiveLearning,3602203,3.8840774874150643
ActiveLearning,3602300,4.03902050488221
ActiveLearning,3602401,3.978154933895475
ActiveLearning,3602402,3.85297804422525
ActiveLearning,3602500,3.91182254033113
ActiveLearning,3602600,3.908361774382927
ActiveLearning,3700100,3.915647499052081
ActiveLearning,3700200,3.890711048420948
ActiveLearning,3700300,3.8688611316548043
ActiveLearning,3701801,4.002560758649579
ActiveLearning,3701802,3.9855205951762924
ActiveLearning,3701803,3.986826475020085
ActiveLearning,3701900,3.8529945264904346
ActiveLearning,3702000,3.8266620778003344
ActiveLearning,3702100,3.8715694479180653
ActiveLearning,3702201,4.059152670507212
ActiveLearning,3702202,4.005532340001313
ActiveLearning,3702300,3.9037085427759863
ActiveLearning,3702400,3.9227964018154253
ActiveLearning,3702500,3.9732557469881074
ActiveLearning,3702600,3.92018402615387
ActiveLearning,3702700,3.897905130160036
ActiveLearning,3702800,3.911395646774317
ActiveLearning,3703001,3.8790915867305418
ActiveLearning,3703500,3.908686475913258
ActiveLearning,3901300,3.8464761708715267
ActiveLearning,3901400,3.8744018338672435
ActiveLearning,3901500,3.9527197888645125
ActiveLearning,3901600,3.9033498003880402
ActiveLearning,3902000,3.8687535604041146
ActiveLearning,3902800,3.865536711168157
ActiveLearning,3902900,3.7772800943579035
ActiveLearning,3903000,3.828393587309136
ActiveLearning,3903200,3.911917193564492
ActiveLearning,3903300,3.8742593256907583
ActiveLearning,3903400,3.851951151723222
ActiveLearning,3903500,3.89282095168198
ActiveLearning,3903600,3.8430706180484235
ActiveLearning,3903700,3.8440396394510494
ActiveLearning,3903800,3.9581052514903514
ActiveLearning,3904800,3.864902380186742
ActiveLearning,3904900,3.827530267329921
ActiveLearning,3905000,3.8997055354874903
ActiveLearning,3905100,3.911473801476838
ActiveLearning,3905200,3.8639898048729067
ActiveLearning,3905600,3.992353933401971
ActiveLearning,3905700,3.859234309102281
ActiveLearning,4200101,3.9127992240243383
ActiveLearning,4200102,3.9900912135238378
ActiveLearning,4200200,3.8710649290187673
ActiveLearning,4200300,3.830774756193547
ActiveLearning,4200400,3.8285156997500924
ActiveLearning,4200500,3.923575230018274
ActiveLearning,4200600,3.932106765451562
ActiveLearning,4200701,3.9143140553363467
ActiveLearning,4200702,3.9668117346630165
ActiveLearning,4200801,3.9621848607981116
ActiveLearning,4200802,3.8713211178309677
ActiveLearning,4200803,3.902167248765788
ActiveLearning,4200900,3.884093223707656
ActiveLearning,4201000,3.8885448529900097
ActiveLearning,4201100,3.8308477131618557
ActiveLearning,4201200,3.9754231492335
ActiveLearning,4201300,3.8629136039931797
ActiveLearning,4201400,3.918699290887844
ActiveLearning,4201501,3.917365642851134
ActiveLearning,4201502,3.9652915359584755
ActiveLearning,4201600,3.982852051237936
ActiveLearning,4201701,4.058023693661406
ActiveLearning,4201702,4.02397326884263
ActiveLearning,4201801,4.047874653077259
ActiveLearning,4201802,4.0443546174517495
ActiveLearning,4201803,4.067658913724742
ActiveLearning,4201804,4.031934818946663
ActiveLearning,4201805,3.953046219116666
ActiveLearning,4201806,4.0720503448315055
ActiveLearning,4201807,4.060121275180267
ActiveLearning,4201900,3.8634960358703307
ActiveLearning,4202001,3.97445418025001
ActiveLearning,4202002,3.9761086945610273
ActiveLearning,4202003,3.902154675982082
ActiveLearning,4202100,3.924503535021947
ActiveLearning,4202200,3.891828029957577
ActiveLearning,4202301,3.9082524888521637
ActiveLearning,4202302,4.018254714361683
ActiveLearning,4202600,3.8322812622424927
ActiveLearning,4202701,3.965742604119895
ActiveLearning,4202703,3.9246590546653524
ActiveLearning,4202801,3.9391550138980937
ActiveLearning,4202802,4.0106875013362355
ActiveLearning,4202902,3.954644190185109
ActiveLearning,4203602,3.9454454707959075
ActiveLearning,4203702,3.886967150665202
ActiveLearning,4203800,3.8391144287893497
ActiveLearning,4203900,3.884885999249642
ActiveLearning,4204001,3.9882000997828286
ActiveLearning,4204002,3.8821673333883
ActiveLearning,4500101,3.9180412228253414
ActiveLearning,4500102,3.9756962933001545
ActiveLearning,4500103,3.9654830816437605
ActiveLearning,4500104,4.042614477632804
ActiveLearning,4500105,3.928436568973121
ActiveLearning,4500200,3.9175511310064643
ActiveLearning,4500301,3.890813749806736
ActiveLearning,4500302,3.893606050584577
ActiveLearning,4700600,3.833632683395431
ActiveLearning,4700700,3.9163471059974966
ActiveLearning,4700800,3.854120078769024
ActiveLearning,4700900,3.8308442817268133
ActiveLearning,4701000,3.889769640229061
ActiveLearning,4701100,3.962678400883541
ActiveLearning,4701200,3.8849305363443465
ActiveLearning,4701300,3.9734773121758473
ActiveLearning,4701400,3.8292408146389416
ActiveLearning,4701500,3.8922588798445954
ActiveLearning,4701601,3.9157678667977027
ActiveLearning,4701602,3.9863321431672607
ActiveLearning,4701603,4.000169779433332
ActiveLearning,4701604,4.088389783298411
ActiveLearning,4701700,3.938258460737777
ActiveLearning,4701800,3.881323560990209
ActiveLearning,4701900,3.8750684659291332
ActiveLearning,4702001,3.936338691782299
ActiveLearning,4702002,4.038598425273472
ActiveLearning,4702003,4.026693252219238
ActiveLearning,4702100,3.8337424902012716
ActiveLearning,4702200,3.8749908115311094
ActiveLearning,4702300,3.9972028109726754
ActiveLearning,4702700,3.8720857936805158
ActiveLearning,5151010,3.8879547537851757
ActiveLearning,5151020,3.905549351194959
ActiveLearning,5151040,3.9497145535506477
ActiveLearning,5151044,3.9869776281116027
ActiveLearning,5151045,3.9859015153830417
ActiveLearning,5151080,3.9240025296494654
ActiveLearning,5151089,3.987209525360923
ActiveLearning,5151097,3.8782204274267795
ActiveLearning,5151110,3.9113775798551527
ActiveLearning,5400100,3.918537607004593
ActiveLearning,5400200,3.9194530437402486
ActiveLearning,5400300,3.985652053226701
ActiveLearning,5400400,3.9218977621296114
ActiveLearning,5400500,3.848576571705949
ActiveLearning,5400600,3.8594796107472678
ActiveLearning,5400700,3.928520814533095
ActiveLearning,5400800,3.977572115438282
ActiveLearning,5400900,3.9741300980753467
ActiveLearning,5401000,3.9983091994561772
ActiveLearning,5401100,3.9090332110380386
ActiveLearning,5401200,3.9234554271899014
ActiveLearning,5401300,3.8371777457849454
ActiveListening,0100200,5.250698783219612
ActiveListening,0100301,5.2772434826387435
ActiveListening,0100302,5.308248867725798
ActiveListening,0100400,5.267675098024692
ActiveListening,0100500,5.234226285243679
ActiveListening,0100600,5.294634031640349
ActiveListening,0100700,5.270187688263332
ActiveListening,0100800,5.253754726316034
ActiveListening,0100900,5.373540052349707
ActiveListening,0101000,5.304292268567325
ActiveListening,0101100,5.368589073805422
ActiveListening,0101200,5.360548788777693
ActiveListening,0101301,5.569630717197812
ActiveListening,0101302,5.52908449615221
ActiveListening,0101303,5.374787144902258
ActiveListening,0101304,5.434551067427735
ActiveListening,0101305,5.418948126679749
ActiveListening,0101400,5.330988578802828
ActiveListening,0101500,5.328424640583695
ActiveListening,0101600,5.52188160814929
ActiveListening,0101700,5.4068549450166845
ActiveListening,0101800,5.330833307917868
ActiveListening,0101900,5.363627338389368
ActiveListening,0102100,5.349298871456226
ActiveListening,1302003,5.446834055397418
ActiveListening,1302004,5.307852039779856
ActiveListening,1302300,5.359775111596843
ActiveListening,1302500,5.359350295840013
ActiveListening,1302600,5.351016516455299
ActiveListening,1302700,5.272792825544009
ActiveListening,1302800,5.328714931071057
ActiveListening,1302900,5.302876299763415
ActiveListening,1303003,5.364245882538267
ActiveListening,1303004,5.341310414273071
ActiveListening,1303101,5.381362710978528
ActiveListening,1303102,5.332069045013198
ActiveListening,1303200,5.371032743019764
ActiveListening,1303300,5.295997726483702
ActiveListening,1303400,5.352601187623164
ActiveListening,1303500,5.303240152193144
ActiveListening,1303700,5.325464424974218
ActiveListening,1303800,5.328386037368465
ActiveListening,1304001,5.401941159395713
ActiveListening,1304002,5.375291063982274
ActiveListening,1304003,5.43481866306444
ActiveListening,1304004,5.383819851588944
ActiveListening,1304005,5.43652720373495
ActiveListening,1304006,5.396123809435285
ActiveListening,1304400,5.409633280720462
ActiveListening,1304500,5.348502996039024
ActiveListening,2100400,5.279244167956837
ActiveListening,2100600,5.343448761461809
ActiveListening,2100700,5.387314793495895
ActiveListening,2100800,5.4255112103683
ActiveListening,2100900,5.470301014882815
ActiveListening,2101000,5.379523580801528
ActiveListening,2101100,5.359890625717435
ActiveListening,2101200,5.263074486800516
ActiveListening,2102100,5.316347518217173
ActiveListening,2102200,5.4200347779092075
ActiveListening,2102300,5.298809340374098
ActiveListening,2102700,5.342334006681817
ActiveListening,2102800,5.306427913059018
ActiveListening,2400100,5.425562766927305
ActiveListening,2400200,5.334008619741427
ActiveListening,2800200,5.375381228082381
ActiveListening,2800400,5.388997166266955
ActiveListening,2800500,5.403373072083682
ActiveListening,2800600,5.339432986962508
ActiveListening,2800700,5.3748726704793235
ActiveListening,3600403,5.396307811782277
ActiveListening,3600800,5.335767802072192
ActiveListening,3601300,5.329848626217633
ActiveListening,3601400,5.342926030472829
ActiveListening,3601500,5.364006837933602
ActiveListening,3602201,5.54960948347036
ActiveListening,3602202,5.335090082128533
ActiveListening,3602203,5.3478041494255795
ActiveListening,3602300,5.401895478007357
ActiveListening,3602401,5.396991710352387
ActiveListening,3602402,5.293627258449325
ActiveListening,3602500,5.39439284804253
ActiveListening,3602600,5.409812459066218
ActiveListening,3700100,5.380900539606677
ActiveListening,3700200,5.324799029274967
ActiveListening,3700300,5.345865689359716
ActiveListening,3701801,5.452725581741954
ActiveListening,3701802,5.471844369228817
ActiveListening,3701803,5.348645601934219
ActiveListening,3701900,5.266522743199628
ActiveListening,3702000,5.288668152334113
ActiveListening,3702100,5.331335763401098
ActiveListening,3702201,5.425062628094844
ActiveListening,3702202,5.382264591041041
ActiveListening,3702300,5.3689211111691195
ActiveListening,3702400,5.446735625476191
ActiveListening,3702500,5.405443087051557
ActiveListening,3702600,5.336188702382461
ActiveListening,3702700,5.271959910411248
ActiveListening,3702800,5.352138496238788
ActiveListening,3703001,5.34560950769897
ActiveListening,3703500,5.368140557473048
ActiveListening,3901300,5.320880742977054
ActiveListening,3901400,5.3002915693293815
ActiveListening,3901500,5.474683583236921
ActiveListening,3901600,5.488411705112592
ActiveListening,3902000,5.29408724350082
ActiveListening,3902800,5.384013508315901
ActiveListening,3902900,5.320319692420627
ActiveListening,3903000,5.357312628110683
ActiveListening,3903200,5.472393611343972
ActiveListening,3903300,5.357024477275063
ActiveListening,3903400,5.310904693929543
ActiveListening,3903500,5.3890119400788175
ActiveListening,3903600,5.3043113873554715
ActiveListening,3903700,5.388846231810157
ActiveListening,3903800,5.382294484010556
ActiveListening,3904800,5.368361601418048
ActiveListening,3904900,5.308248220865579
ActiveListening,3905000,5.455832330308216
ActiveListening,3905100,5.403744913637806
ActiveListening,3905200,5.331310480270835
ActiveListening,3905600,5.355798675352986
ActiveListening,3905700,5.2904105331618
ActiveListening,4200101,5.5327721682074475
ActiveListening,4200102,5.419289631785572
ActiveListening,4200200,5.3349080976200405
ActiveListening,4200300,5.322940027963597
ActiveListening,4200400,5.26736238834554
ActiveListening,4200500,5.393743272164649
ActiveListening,4200600,5.455367808813085
ActiveListening,4200701,5.417755847037826
ActiveListening,4200702,5.4170471722130475
ActiveListening,4200801,5.480546944823589
ActiveListening,4200802,5.4978104610690695
ActiveListening,4200803,5.3582514846863365
ActiveListening,4200900,5.4065283886084865
ActiveListening,4201000,5.422192672144456
ActiveListening,4201100,5.354800748943694
ActiveListening,4201200,5.42772131525641
ActiveListening,4201300,5.396599563180718
ActiveListening,4201400,5.4420342584755605
ActiveListening,4201501,5.403263968713818
ActiveListening,4201502,5.420711494443607
ActiveListening,4201600,5.326581351052379
ActiveListening,4201701,5.4583984110377575
ActiveListening,4201702,5.44754151872663
ActiveListening,4201801,5.391902484625987
ActiveListening,4201802,5.324881992384328
ActiveListening,4201803,5.37158530982265
ActiveListening,4201804,5.477653895566592
ActiveListening,4201805,5.489535995970686
ActiveListening,4201806,5.427467176668063
ActiveListening,4201807,5.348508932884925
ActiveListening,4201900,5.397585701531389
ActiveListening,4202001,5.324093797662836
ActiveListening,4202002,5.390393409743686
ActiveListening,4202003,5.325932429249698
ActiveListening,4202100,5.442246790718579
ActiveListening,4202200,5.3909460701749
ActiveListening,4202301,5.3930958430905385
ActiveListening,4202302,5.4097052258241
ActiveListening,4202600,5.324992804848475
ActiveListening,4202701,5.341244593369356
ActiveListening,4202703,5.374272055551295
ActiveListening,4202801,5.32149002693657
ActiveListening,4202802,5.382141571665904
ActiveListening,4202902,5.368297913442332
ActiveListening,4203602,5.3756251071047
ActiveListening,4203702,5.317792322512434
ActiveListening,4203800,5.3225760865471745
ActiveListening,4203900,5.40801592949316
ActiveListening,4204001,5.3557258784670045
ActiveListening,4204002,5.351170605001433
ActiveListening,4500101,5.376198530089198
ActiveListening,4500102,5.368176970335913
ActiveListening,4500103,5.345004772802813
ActiveListening,4500104,5.359601856554026
ActiveListening,4500105,5.344865659957046
ActiveListening,4500200,5.346128474540385
ActiveListening,4500301,5.41129693283414
ActiveListening,4500302,5.321608867635712
ActiveListening,4700600,5.228397121702901
ActiveListening,4700700,5.37073771877544
ActiveListening,4700800,5.371223177017967
ActiveListening,4700900,5.2758162816694245
ActiveListening,4701000,5.37096525978579
ActiveListening,4701100,5.339119877199255
ActiveListening,4701200,5.332631820128807
ActiveListening,4701300,5.437906744600691
ActiveListening,4701400,5.339716069527947
ActiveListening,4701500,5.414372052820881
ActiveListening,4701601,5.327469710668971
ActiveListening,4701602,5.421818047077533
ActiveListening,4701603,5.495743904872151
ActiveListening,4701604,5.34293705422622
ActiveListening,4701700,5.383634659477641
ActiveListening,4701800,5.32062729963962
ActiveListening,4701900,5.348481908190619
ActiveListening,4702001,5.535871140260509
ActiveListening,4702002,5.421675310413756
ActiveListening,4702003,5.334957406174721
ActiveListening,4702100,5.298052168964736
ActiveListening,4702200,5.258680868559961
ActiveListening,4702300,5.379879000418061
ActiveListening,4702700,5.363545349218166
ActiveListening,5151010,5.371860971252516
ActiveListening,5151020,5.378163460954911
ActiveListening,5151040,5.395608900536768
ActiveListening,5151044,5.542444386893679
ActiveListening,5151045,5.370194605225983
ActiveListening,5151080,5.37894961645072
ActiveListening,5151089,5.324563259223232
ActiveListening,5151097,5.403835589592303
ActiveListening,5151110,5.394974922988642
ActiveListening,5400100,5.430424229949831
ActiveListening,5400200,5.394127801421665
ActiveListening,5400300,5.392238716278648
ActiveListening,5400400,5.317814291143285
ActiveListening,5400500,5.3543376372854485
ActiveListening,5400600,5.340248407598684
ActiveListening,5400700,5.380448426776561
ActiveListening,5400800,5.489501376506219
ActiveListening,5400900,5.398522776392912
ActiveListening,5401000,5.482556931462134
ActiveListening,5401100,5.337173286401796
ActiveListening,5401200,5.412646001318086
ActiveListening,5401300,5.248894771265983
ComplexProblemSolving,0100200,3.9604748944617656
ComplexProblemSolving,0100301,4.051507137628604
ComplexProblemSolving,0100302,3.995306264407921
ComplexProblemSolving,0100400,3.8575347395514554
ComplexProblemSolving,0100500,3.9355557853954735
ComplexProblemSolving,0100600,3.8671320813835903
ComplexProblemSolving,0100700,3.8557797534670994
ComplexProblemSolving,0100800,3.889522049008066
ComplexProblemSolving,0100900,3.85952305376101
ComplexProblemSolving,0101000,3.845781604682426
ComplexProblemSolving,0101100,3.8577669916711077
ComplexProblemSolving,0101200,3.970201049295838
ComplexProblemSolving,0101301,3.837124093805486
ComplexProblemSolving,0101302,3.922236926583558
ComplexProblemSolving,0101303,4.000637437180908
ComplexProblemSolving,0101304,3.901692063161952
ComplexProblemSolving,0101305,3.9114113027624144
ComplexProblemSolving,0101400,3.8257304688145686
ComplexProblemSolving,0101500,3.880274674382706
ComplexProblemSolving,0101600,3.8767610932239722
ComplexProblemSolving,0101700,3.829677688023466
ComplexProblemSolving,0101800,3.84412522605942
ComplexProblemSolving,0101900,3.9180254515369386
ComplexProblemSolving,0102100,3.912651089833442
ComplexProblemSolving,1302003,3.9705036235368545
ComplexProblemSolving,1302004,4.081991992238689
ComplexProblemSolving,1302300,3.8642126196548103
ComplexProblemSolving,1302500,3.8542537736610942
ComplexProblemSolving,1302600,3.847518318745722
ComplexProblemSolving,1302700,3.8065302227435307
ComplexProblemSolving,1302800,3.8618760717012797
ComplexProblemSolving,1302900,3.881206040983508
ComplexProblemSolving,1303003,3.9772889511964697
ComplexProblemSolving,1303004,4.014272964288701
ComplexProblemSolving,1303101,3.9578265549935043
ComplexProblemSolving,1303102,3.9837495530384897
ComplexProblemSolving,1303200,3.872096975758424
ComplexProblemSolving,1303300,4.037329536682573
ComplexProblemSolving,1303400,3.894598909299641
ComplexProblemSolving,1303500,3.842776323265631
ComplexProblemSolving,1303700,3.9100658506314874
ComplexProblemSolving,1303800,3.891864287345529
ComplexProblemSolving,1304001,3.9980643741990214
ComplexProblemSolving,1304002,3.987573524554973
ComplexProblemSolving,1304003,3.959451503768895
ComplexProblemSolving,1304004,3.9594535446527273
ComplexProblemSolving,1304005,3.9351243844017016
ComplexProblemSolving,1304006,3.93204068822744
ComplexProblemSolving,1304400,3.9115606056402457
ComplexProblemSolving,1304500,3.9075781211836227
ComplexProblemSolving,2100400,3.8041632392242493
ComplexProblemSolving,2100600,3.8213938451088723
ComplexProblemSolving,2100700,3.86293933072298
ComplexProblemSolving,2100800,3.843872100166231
ComplexProblemSolving,2100900,3.817527837158325
ComplexProblemSolving,2101000,3.8269552431877365
ComplexProblemSolving,2101100,3.815534920425089
ComplexProblemSolving,2101200,3.8366829586215103
ComplexProblemSolving,2102100,3.8526911566053577
ComplexProblemSolving,2102200,3.8609030341145623
ComplexProblemSolving,2102300,3.866561371979571
ComplexProblemSolving,2102700,3.829645205482526
ComplexProblemSolving,2102800,3.8488418054148106
ComplexProblemSolving,2400100,3.867691789191648
ComplexProblemSolving,2400200,3.8849894220691397
ComplexProblemSolving,2800200,3.8369792301403534
ComplexProblemSolving,2800400,3.8435357582731067
ComplexProblemSolving,2800500,3.861624071873676
ComplexProblemSolving,2800600,3.8722202146929723
ComplexProblemSolving,2800700,3.8332702733624853
ComplexProblemSolving,3600403,3.868517735119718
ComplexProblemSolving,3600800,3.8596627886518187
ComplexProblemSolving,3601300,3.8591647381109673
ComplexProblemSolving,3601400,3.9146629989926027
ComplexProblemSolving,3601500,3.897096960114852
ComplexProblemSolving,3602201,3.9210024163180015
ComplexProblemSolving,3602202,3.8970184787804683
ComplexProblemSolving,3602203,3.850112767196659
ComplexProblemSolving,3602300,3.9776315891186407
ComplexProblemSolving,3602401,3.9038752126095386
ComplexProblemSolving,3602402,3.8441754921188593
ComplexProblemSolving,3602500,3.857688611803215
ComplexProblemSolving,3602600,3.8441255545361583
ComplexProblemSolving,3700100,3.8508002540898554
ComplexProblemSolving,3700200,3.86704045196873
ComplexProblemSolving,3700300,3.853057724102566
ComplexProblemSolving,3701801,3.9434137498473487
ComplexProblemSolving,3701802,3.9278164371663586
ComplexProblemSolving,3701803,3.9496066803440635
ComplexProblemSolving,3701900,3.8614862080235173
ComplexProblemSolving,3702000,3.87037955917504
ComplexProblemSolving,3702100,3.830794086016345
ComplexProblemSolving,3702201,3.9363466545506527
ComplexProblemSolving,3702202,3.9085765957280145
ComplexProblemSolving,3702300,3.8621722294213665
ComplexProblemSolving,3702400,3.8718687352158803
ComplexProblemSolving,3702500,3.9016495204250825
ComplexProblemSolving,3702600,3.8529602600198594
ComplexProblemSolving,3702700,3.8778761928704455
ComplexProblemSolving,3702800,3.8938384339041203
ComplexProblemSolving,3703001,3.8728546389706837
ComplexProblemSolving,3703500,3.8906658338736695
ComplexProblemSolving,3901300,3.825452492286099
ComplexProblemSolving,3901400,3.8575136010992024
ComplexProblemSolving,3901500,3.8839991678882115
ComplexProblemSolving,3901600,3.8752119150970743
ComplexProblemSolving,3902000,3.8487198668942177
ComplexProblemSolving,3902800,3.860302212774868
ComplexProblemSolving,3902900,3.843475728695489
ComplexProblemSolving,3903000,3.847348505504152
ComplexProblemSolving,3903200,3.881597056885851
ComplexProblemSolving,3903300,3.884387778311123
ComplexProblemSolving,3903400,3.8442663858972104
ComplexProblemSolving,3903500,3.844388363772567
ComplexProblemSolving,3903600,3.852430277103673
ComplexProblemSolving,3903700,3.830084484852291
ComplexProblemSolving,3903800,3.9167402051998965
ComplexProblemSolving,3904800,3.8597202182844215
ComplexProblemSolving,3904900,3.843958046748143
ComplexProblemSolving,3905000,3.84492435616879
ComplexProblemSolving,3905100,3.8390831275272568
ComplexProblemSolving,3905200,3.85682972447237
ComplexProblemSolving,3905600,3.9661068816966223
ComplexProblemSolving,3905700,3.8637172185737403
ComplexProblemSolving,4200101,3.8976547348186177
ComplexProblemSolving,4200102,3.8952041129389596
ComplexProblemSolving,4200200,3.865367622933919
ComplexProblemSolving,4200300,3.855963492830852
ComplexProblemSolving,4200400,3.8435584057883885
ComplexProblemSolving,4200500,3.8806804203639538
ComplexProblemSolving,4200600,3.8747656782353292
ComplexProblemSolving,4200701,3.8663420879245187
ComplexProblemSolving,4200702,3.888081769696284
ComplexProblemSolving,4200801,3.9026554163089857
ComplexProblemSolving,4200802,3.8684422835405368
ComplexProblemSolving,4200803,3.8653901927500045
ComplexProblemSolving,4200900,3.8477603294083127
ComplexProblemSolving,4201000,3.877181959416362
ComplexProblemSolving,4201100,3.8464631821426827
ComplexProblemSolving,4201200,3.960754769851327
ComplexProblemSolving,4201300,3.8441068993775565
ComplexProblemSolving,4201400,3.8726308480993366
ComplexProblemSolving,4201501,3.866730423845054
ComplexProblemSolving,4201502,3.915056436595996
ComplexProblemSolving,4201600,3.9309297665992773
ComplexProblemSolving,4201701,4.030876740811336
ComplexProblemSolving,4201702,3.9611474965902422
ComplexProblemSolving,4201801,3.973462262816129
ComplexProblemSolving,4201802,4.01460363301263
ComplexProblemSolving,4201803,4.011833566106735
