skillname,PUMA,Normalized Index
ActiveLearning,0100200,0.753866269219246
ActiveLearning,0100301,0.7595945338869282
ActiveLearning,0100302,0.753599119424767
ActiveLearning,0100400,0.7221939563158475
ActiveLearning,0100500,0.7478068473088201
ActiveLearning,0100600,0.7314462480292518
ActiveLearning,0100700,0.7315936324974671
ActiveLearning,0100800,0.7397506996117963
ActiveLearning,0100900,0.7260976186609661
ActiveLearning,0101000,0.7239925657618551
ActiveLearning,0101100,0.7245781821164253
ActiveLearning,0101200,0.7559186710512843
ActiveLearning,0101301,0.697212952983374
ActiveLearning,0101302,0.7149869739762938
ActiveLearning,0101303,0.7678700206550818
ActiveLearning,0101304,0.7308264258146383
ActiveLearning,0101305,0.7318082316835042
ActiveLearning,0101400,0.7225724385459859
ActiveLearning,0101500,0.7371098782011257
ActiveLearning,0101600,0.7122437945603592
ActiveLearning,0101700,0.7136495379219477
ActiveLearning,0101800,0.716980540191871
ActiveLearning,0101900,0.7415904146443318
ActiveLearning,0102100,0.7425225292606566
ActiveLearning,1302003,0.7442337786020541
ActiveLearning,1302004,0.7683535290290097
ActiveLearning,1302300,0.7260481650729133
ActiveLearning,1302500,0.7207193448070663
ActiveLearning,1302600,0.726909629571125
ActiveLearning,1302700,0.7091785109544031
ActiveLearning,1302800,0.7157636519242546
ActiveLearning,1302900,0.737194259458065
ActiveLearning,1303003,0.7545230243338064
ActiveLearning,1303004,0.7530337015349885
ActiveLearning,1303101,0.7491549053518042
ActiveLearning,1303102,0.7580214166489794
ActiveLearning,1303200,0.7334476361716429
ActiveLearning,1303300,0.7684220805522851
ActiveLearning,1303400,0.7261346670627772
ActiveLearning,1303500,0.7303343315190957
ActiveLearning,1303700,0.7472028669772394
ActiveLearning,1303800,0.7361645285440929
ActiveLearning,1304001,0.7484421724984491
ActiveLearning,1304002,0.7572366533312966
ActiveLearning,1304003,0.7378728426657992
ActiveLearning,1304004,0.7486847321444832
ActiveLearning,1304005,0.7363351123570782
ActiveLearning,1304006,0.725140867025904
ActiveLearning,1304400,0.7346020817130898
ActiveLearning,1304500,0.7412365192397778
ActiveLearning,2100400,0.7231908450332807
ActiveLearning,2100600,0.7171694620253377
ActiveLearning,2100700,0.7181184957400389
ActiveLearning,2100800,0.7170377652175814
ActiveLearning,2100900,0.7093260915191342
ActiveLearning,2101000,0.7211046364527313
ActiveLearning,2101100,0.7267373768524186
ActiveLearning,2101200,0.7265521417598942
ActiveLearning,2102100,0.7331662347368
ActiveLearning,2102200,0.7219278550338943
ActiveLearning,2102300,0.7348534717571814
ActiveLearning,2102700,0.7195785553768439
ActiveLearning,2102800,0.7402694281476474
ActiveLearning,2400100,0.7213345985757925
ActiveLearning,2400200,0.7377864160132949
ActiveLearning,2800200,0.7149590353995517
ActiveLearning,2800400,0.7256346485550745
ActiveLearning,2800500,0.7242726319304775
ActiveLearning,2800600,0.7329758439509755
ActiveLearning,2800700,0.7206208531156774
ActiveLearning,3600403,0.7279102663708658
ActiveLearning,3600800,0.7324747168209473
ActiveLearning,3601300,0.734902933096002
ActiveLearning,3601400,0.7450928921550933
ActiveLearning,3601500,0.7374433952357512
